treeDepth, leafs, distanceLeafs, totalHashes, hashesPerLeaf
9, 30, 1, 34, 1.13
9, 2, 2, 10, 5
9, 3, 2, 12, 4
9, 4, 2, 13, 3.25
9, 5, 2, 16, 3.2
9, 6, 2, 17, 2.83
9, 7, 2, 19, 2.71
9, 8, 2, 20, 2.5
9, 9, 2, 24, 2.67
9, 10, 2, 25, 2.5
9, 11, 2, 27, 2.45
9, 12, 2, 28, 2.33
9, 13, 2, 31, 2.38
9, 14, 2, 32, 2.29
9, 15, 2, 34, 2.27
9, 16, 2, 35, 2.19
9, 17, 2, 40, 2.35
9, 18, 2, 41, 2.28
9, 19, 2, 43, 2.26
9, 20, 2, 44, 2.2
9, 21, 2, 47, 2.24
9, 22, 2, 48, 2.18
9, 23, 2, 50, 2.17
9, 24, 2, 51, 2.13
9, 25, 2, 55, 2.2
9, 26, 2, 56, 2.15
9, 27, 2, 58, 2.15
9, 28, 2, 59, 2.11
9, 29, 2, 62, 2.14
9, 30, 2, 63, 2.1
9, 2, 3, 10, 5
9, 3, 3, 12, 4
9, 4, 3, 15, 3.75
9, 5, 3, 17, 3.4
9, 6, 3, 18, 3
9, 7, 3, 22, 3.14
9, 8, 3, 24, 3
9, 9, 3, 27, 3
9, 10, 3, 28, 2.8
9, 11, 3, 30, 2.73
9, 12, 3, 35, 2.92
9, 13, 3, 37, 2.85
9, 14, 3, 38, 2.71
9, 15, 3, 41, 2.73
9, 16, 3, 43, 2.69
9, 17, 3, 47, 2.76
9, 18, 3, 48, 2.67
9, 19, 3, 50, 2.63
9, 20, 3, 53, 2.65
9, 21, 3, 55, 2.62
9, 22, 3, 56, 2.55
9, 23, 3, 62, 2.7
9, 24, 3, 64, 2.67
9, 25, 3, 67, 2.68
9, 26, 3, 68, 2.62
9, 27, 3, 70, 2.59
9, 28, 3, 74, 2.64
9, 29, 3, 76, 2.62
9, 30, 3, 77, 2.57
9, 2, 4, 11, 5.5
9, 3, 4, 14, 4.67
9, 4, 4, 16, 4
9, 5, 4, 20, 4
9, 6, 4, 22, 3.67
9, 7, 4, 25, 3.57
9, 8, 4, 27, 3.38
9, 9, 4, 32, 3.56
9, 10, 4, 34, 3.4
9, 11, 4, 37, 3.36
9, 12, 4, 39, 3.25
9, 13, 4, 43, 3.31
9, 14, 4, 45, 3.21
9, 15, 4, 48, 3.2
9, 16, 4, 50, 3.13
9, 17, 4, 56, 3.29
9, 18, 4, 58, 3.22
9, 19, 4, 61, 3.21
9, 20, 4, 63, 3.15
9, 21, 4, 67, 3.19
9, 22, 4, 69, 3.14
9, 23, 4, 72, 3.13
9, 24, 4, 74, 3.08
9, 25, 4, 79, 3.16
9, 26, 4, 81, 3.12
9, 27, 4, 84, 3.11
9, 28, 4, 86, 3.07
9, 29, 4, 90, 3.1
9, 30, 4, 92, 3.07
9, 2, 5, 11, 5.5
9, 3, 5, 14, 4.67
9, 4, 5, 16, 4
9, 5, 5, 20, 4
9, 6, 5, 23, 3.83
9, 7, 5, 25, 3.57
9, 8, 5, 30, 3.75
9, 9, 5, 33, 3.67
9, 10, 5, 35, 3.5
9, 11, 5, 39, 3.55
9, 12, 5, 41, 3.42
9, 13, 5, 44, 3.38
9, 14, 5, 50, 3.57
9, 15, 5, 52, 3.47
9, 16, 5, 55, 3.44
9, 17, 5, 59, 3.47
9, 18, 5, 61, 3.39
9, 19, 5, 64, 3.37
9, 20, 5, 66, 3.3
9, 21, 5, 71, 3.38
9, 22, 5, 74, 3.36
9, 23, 5, 76, 3.3
9, 24, 5, 80, 3.33
9, 25, 5, 83, 3.32
9, 26, 5, 85, 3.27
9, 27, 5, 92, 3.41
9, 28, 5, 94, 3.36
9, 29, 5, 97, 3.34
9, 30, 5, 101, 3.37
10, 2, 1, 10, 5
10, 3, 1, 11, 3.67
10, 4, 1, 11, 2.75
10, 5, 1, 13, 2.6
10, 6, 1, 13, 2.17
10, 7, 1, 14, 2
10, 8, 1, 14, 1.75
10, 9, 1, 17, 1.89
10, 10, 1, 17, 1.7
10, 11, 1, 18, 1.64
10, 12, 1, 18, 1.5
10, 13, 1, 20, 1.54
10, 14, 1, 20, 1.43
10, 15, 1, 21, 1.4
10, 16, 1, 21, 1.31
10, 17, 1, 25, 1.47
10, 18, 1, 25, 1.39
10, 19, 1, 26, 1.37
10, 20, 1, 26, 1.3
10, 21, 1, 28, 1.33
10, 22, 1, 28, 1.27
10, 23, 1, 29, 1.26
10, 24, 1, 29, 1.21
10, 25, 1, 32, 1.28
10, 26, 1, 32, 1.23
10, 27, 1, 33, 1.22
10, 28, 1, 33, 1.18
10, 29, 1, 35, 1.21
10, 30, 1, 35, 1.17
10, 2, 2, 11, 5.5
10, 3, 2, 13, 4.33
10, 4, 2, 14, 3.5
10, 5, 2, 17, 3.4
10, 6, 2, 18, 3
10, 7, 2, 20, 2.86
10, 8, 2, 21, 2.63
10, 9, 2, 25, 2.78
10, 10, 2, 26, 2.6
10, 11, 2, 28, 2.55
10, 12, 2, 29, 2.42
10, 13, 2, 32, 2.46
10, 14, 2, 33, 2.36
10, 15, 2, 35, 2.33
10, 16, 2, 36, 2.25
10, 17, 2, 41, 2.41
10, 18, 2, 42, 2.33
10, 19, 2, 44, 2.32
10, 20, 2, 45, 2.25
10, 21, 2, 48, 2.29
10, 22, 2, 49, 2.23
10, 23, 2, 51, 2.22
10, 24, 2, 52, 2.17
10, 25, 2, 56, 2.24
10, 26, 2, 57, 2.19
10, 27, 2, 59, 2.19
10, 28, 2, 60, 2.14
10, 29, 2, 63, 2.17
10, 30, 2, 64, 2.13
10, 2, 3, 11, 5.5
10, 3, 3, 13, 4.33
10, 4, 3, 16, 4
10, 5, 3, 18, 3.6
10, 6, 3, 19, 3.17
10, 7, 3, 23, 3.29
10, 8, 3, 25, 3.13
10, 9, 3, 28, 3.11
10, 10, 3, 29, 2.9
10, 11, 3, 31, 2.82
10, 12, 3, 36, 3
10, 13, 3, 38, 2.92
10, 14, 3, 39, 2.79
10, 15, 3, 42, 2.8
10, 16, 3, 44, 2.75
10, 17, 3, 48, 2.82
10, 18, 3, 49, 2.72
10, 19, 3, 51, 2.68
10, 20, 3, 54, 2.7
10, 21, 3, 56, 2.67
10, 22, 3, 57, 2.59
10, 23, 3, 63, 2.74
10, 24, 3, 65, 2.71
10, 25, 3, 68, 2.72
10, 26, 3, 69, 2.65
10, 27, 3, 71, 2.63
