file, batch_size, compile_opt_sec, memusg_compile_KiB, setup_opt_sec, memusg_setup_KiB, witness_opt_sec, memusg_witness_KiB, proof_opt_sec, memusg_proof_KiB, constr_opt
dep_3_8, 3, 282, 27983428, 342, 2982692, 47, 2722412, 118, 8483328, 519957
dep_5_8, 5, 514, 35027360, 567, 4947116, 47, 4504808, 170, 14065192, 829281
dep_10_8, 10, 858, 17547476, 1102, 9900092, 90, 8962556, 304, 27983428, 1602591
dep_20_8, 20, 1786, 9900092, 2201, 19697456, 203, 17876176, 680, 55821068, 3149211
dep_30_8, 30, 3123, 8962556, 3586, 30057092, 326, 26790056, 983, 83936360, 4695831
