batch_size, total_gas, gas_per_dep
1, 342686, 342686
2, 484973, 242487
3, 571283, 190428
4, 657593, 164398
5, 743903, 148781
10, 1175453, 117545
15, 1607003, 107134
25, 2470103, 98804
35, 3333203, 95234
50, 4627853, 92557
100, 8943353, 89434
105, 9374903, 89285
