batch_size, total_gas, gas_per_dep
1, 419684, 419684
2, 527015, 263508
3, 634346, 211449
4, 741677, 185419
5, 849008, 169802
10, 1385663, 138566
15, 1922318, 128155
25, 2995628, 119825
35, 4068938, 116255
50, 5678903, 113578
94, 10401467, 110654
