batch_size, total_gas, gas_per_dep
1, 342686, 342686
2, 404364, 202182
3, 450369, 150123
4, 496375, 124094
5, 542380, 108476
10, 772408, 77241
15, 1002435, 66829
25, 1462490, 58500
35, 1922545, 54930
50, 2612628, 52253
105, 5142930, 48980
