file, batch_size, compile_opt_sec, memusg_compile_KiB, setup_opt_sec, memusg_setup_KiB, witness_opt_sec, memusg_witness_KiB, proof_opt_sec, memusg_proof_KiB, constr_opt
3_8_trade, 3, 388, 8838112, 356, 3064620, 51, 2371188, 101, 7398344, 695409
5_8_trade, 5, 628, 8901668, 491, 4750452, 83, 3841232, 166, 10489336, 999757
10_8_trade, 10, 1271, 8578340, 931, 9314040, 166, 7555472, 353, 8838112, 1760627
20_8_trade, 20, 3971, 8517428, 1917, 8929000, 358, 7819764, 753, 10546080, 3282367
30_8_trade, 30, 13557, 9314040, 3265, 9130276, 557, 8585908, 1261, 11560512, 4804107
