file, batch_size, compile_opt_sec, memusg_compile_KiB, setup_opt_sec, memusg_setup_KiB, witness_opt_sec, memusg_witness_KiB, proof_opt_sec, memusg_proof_KiB, constr_opt
trade_3_8, 3, 320, 28143352, 458, 3118884, 29, 2775628, 115, 8731212, 598889
trade_5_8, 5, 524, 35107992, 596, 5005584, 46, 4556200, 167, 14251484, 903237
trade_10_8, 10, 1018, 17652216, 1153, 9973772, 102, 9006232, 334, 28143352, 1664107
trade_20_8, 20, 2092, 9973772, 2232, 19796864, 207, 17907868, 704, 55926736, 3185847
trade_30_8, 30, 3041, 9006232, 3589, 30059712, 341, 26808236, 974, 83988588, 4707587
