file, batch_size, compile_opt_sec, memusg_compile_KiB, setup_opt_sec, memusg_setup_KiB, witness_opt_sec, memusg_witness_KiB, proof_opt_sec, memusg_proof_KiB, constr_opt
dep_3_8, 3, 365, 7555472, 267, 2805976, 49, 2266496, 89, 7002972, 519963
dep_5_8, 5, 602, 12139308, 445, 4672836, 82, 3738308, 159, 9890200, 829291
dep_10_8, 10, 1343, 10839736, 897, 8578340, 165, 7478620, 351, 8517428, 1602611
dep_20_8, 20, 3573, 7478620, 1886, 8901668, 360, 8327488, 747, 10876040, 3149251
dep_30_8, 30, 11393, 13105192, 3205, 10338680, 558, 8873020, 1219, 11302304, 4695891
