batch_size, total_gas, gas_per_withdraw
1, 366054, 366055
2, 419756, 209878
3, 473458, 157819
4, 527160, 131790
5, 580861, 116172
10, 849370, 84937
15, 1117879, 74525
25, 1654896, 66196
35, 2191914, 62626
50, 2997440, 59949
100, 5682528, 56825
150, 8367615, 55784
186, 10300878, 55381
