batch_size, total_gas, gas_per_withdraw
1, 342686, 342686
2, 373019, 186510
3, 403352, 134451
4, 433686, 108422
5, 464019, 92804
10, 615685, 61569
15, 767351, 51157
25, 1070684, 42827
35, 1374016, 39258
50, 1829015, 36580
100, 3345678, 33457
150, 4862340, 32416
186, 5954337, 32013
